Órgão;Unidade Gestora;Credor;Fase;Contrato;Inscrição Siafi;Moeda de Origem;Saldo Devedor de Curto Prazo;Saldo Devedor de Longo Prazo;Saldo Devedor Total;Juros Apropriados;Estoque
;;;Desembolsando e Amortizando;BIRD7841-BR;1603;USD;25.769.801,18;553.703.385,87;579.473.187,05;1.688.198,57;581.161.385,62
;;;Amortizando;BIRD7901-BR;1589;USD;4.825.024,65;103.747.160,06;108.572.184,71;288.560,74;108.860.745,45
;;;Amortizando;BIRD7383-BR;1493;USD;17.325.197,99;69.154.470,27;86.479.668,27;69.568,10;86.549.236,37
;;;Amortizando;BIRD7782-BR;1563;USD;497.618,47;10.208.846,55;10.706.465,02;9.612,02;10.716.077,05
;;BNP;;;;;29.265.117,67;34.548.279,06;63.813.396,73;1.006.795,95;64.820.192,68
;;;Amortizando;BNP S/N-0102;1386;USD;29.265.117,67;34.548.279,06;63.813.396,73;1.006.795,95;64.820.192,68
;;CREDIT;;;;;3.941.414,77;8.593.818,78;12.535.233,55;0;12.535.233,55
;;;Amortizando;PROT.FRANCES;1298;EUR;3.941.414,77;8.593.818,78;12.535.233,55;0;12.535.233,55
;;EXIMBANK;;;;;4.904.091,18;0;4.904.091,18;49.443,98;4.953.535,16
;;;Concluído;EXIMBANK7460;83;USD;4.904.091,18;0;4.904.091,18;49.443,98;4.953.535,16
;;FIDA;;;;;3.634.196,20;4.020.518,11;7.654.714,32;10.679,73;7.665.394,05
;;;Desembolsando e Amortizando;FIDA437;11770;EUR;3.006.059,90;2.819.095,14;5.825.155,04;6.597,20;5.831.752,24
;;;Desembolsando e Amortizando;FIDA436-SDR;1619;SDR;628.136,30;1.201.422,98;1.829.559,28;4.082,52;1.833.641,81
;;JBIC;;;;;5.540.304,61;52.632.893,82;58.173.198,44;277.869,85;58.451.068,29
;;;Amortizando;JBICBZ-P14;1515;JPY;5.540.304,61;52.632.893,82;58.173.198,44;277.869,85;58.451.068,29
;;KFW;;;;;34.538.500,13;42.827.621,90;77.366.122,04;1.453.595,31;78.819.717,34
;;;Amortizando;KFW(PI);1361;EUR;2.029.455,11;2.020.475,95;4.049.931,06;0;4.049.931,06
;;;Amortizando;KFW8990-0102;1384;USD;32.509.045,02;40.807.145,95;73.316.190,97;1.453.595,31;74.769.786,28
29208 - CPRM;;;;;;;0;184.536,65;184.536,65;1.954,70;186.491,34
;495130 - 495130-CPRM;;;;;;0;184.536,65;184.536,65;1.954,70;186.491,34
;;RBC-Cayman;;;;;0;184.536,65;184.536,65;1.954,70;186.491,34
;;;Amortizando;RBC-CAYMAN;501621;USD;0;184.536,65;184.536,65;1.954,70;186.491,34
31000 - CMDO MARINHA;;;;;;;697.939.636,71;1.111.396.373,36;1.809.336.010,07;4.422.821,44;1.813.758.831,50
;772010 - DIR. DE GESTAO ORÇAMENTARIA OP. DE CREDITO;;;;;;697.939.636,71;1.111.396.373,36;1.809.336.010,07;4.422.821,44;1.813.758.831,50
;;BNP;;;;;697.939.636,71;1.111.396.373,36;1.809.336.010,07;4.422.821,44;1.813.758.831,50
;;;Desembolsando e Amortizando;PROSUB1BRNAV;1599;EUR;697.939.636,71;1.111.396.373,36;1.809.336.010,07;4.422.821,44;1.813.758.831,50
